INSERT INTO `Shipments` VALUES(1,'0-9699605-1-4');
INSERT INTO `Shipments` VALUES(2,'1-270-93243-8');
INSERT INTO `Shipments` VALUES(3,'1-79449-464-2');
INSERT INTO `Shipments` VALUES(4,'1-68249-780-1');
INSERT INTO `Shipments` VALUES(5,'0-666-97877-8');
INSERT INTO `Shipments` VALUES(6,'0-423-79753-0');
INSERT INTO `Shipments` VALUES(7,'1-72952-241-6');
INSERT INTO `Shipments` VALUES(8,'1-899661-19-0');
INSERT INTO `Shipments` VALUES(9,'0-03-426794-8');
INSERT INTO `Shipments` VALUES(10,'1-342-85461-6');
INSERT INTO `Shipments` VALUES(11,'1-266-77163-8');
INSERT INTO `Shipments` VALUES(12,'0-560-21900-8');
INSERT INTO `Shipments` VALUES(13,'0-645-67966-6');
INSERT INTO `Shipments` VALUES(14,'0-938301-79-9');
INSERT INTO `Shipments` VALUES(15,'1-199-14896-2');
INSERT INTO `Shipments` VALUES(16,'1-02-207303-6');
INSERT INTO `Shipments` VALUES(17,'0-9716969-1-8');
INSERT INTO `Shipments` VALUES(18,'1-61647-334-7');
INSERT INTO `Shipments` VALUES(19,'0-8013-2169-7');
INSERT INTO `Shipments` VALUES(20,'0-14-855404-0');
INSERT INTO `Shipments` VALUES(21,'0-15-595897-6');
INSERT INTO `Shipments` VALUES(22,'0-87772-938-7');
INSERT INTO `Shipments` VALUES(23,'1-932744-40-1');
INSERT INTO `Shipments` VALUES(24,'1-959139-51-7');
INSERT INTO `Shipments` VALUES(25,'1-75749-826-5');
INSERT INTO `Shipments` VALUES(26,'0-512-04493-7');
INSERT INTO `Shipments` VALUES(27,'0-8136-2598-X');
INSERT INTO `Shipments` VALUES(28,'0-9765786-5-4');
INSERT INTO `Shipments` VALUES(29,'0-8285-0828-3');
INSERT INTO `Shipments` VALUES(30,'0-943903-99-8');
INSERT INTO `Shipments` VALUES(31,'0-16-712624-5');
INSERT INTO `Shipments` VALUES(32,'1-60542-243-6');
INSERT INTO `Shipments` VALUES(33,'0-692-11774-1');
INSERT INTO `Shipments` VALUES(34,'1-4256-7367-8');
INSERT INTO `Shipments` VALUES(35,'1-61647-334-7');
INSERT INTO `Shipments` VALUES(36,'1-4477-1238-2');
INSERT INTO `Shipments` VALUES(37,'0-15-595897-6');
INSERT INTO `Shipments` VALUES(38,'0-06-117646-X');
INSERT INTO `Shipments` VALUES(39,'1-55900-963-2');
INSERT INTO `Shipments` VALUES(40,'1-108-62188-0');
INSERT INTO `Shipments` VALUES(41,'1-919228-39-X');
INSERT INTO `Shipments` VALUES(42,'0-590-35450-7');
INSERT INTO `Shipments` VALUES(43,'0-334-84311-1');
INSERT INTO `Shipments` VALUES(44,'0-692-11774-1');
INSERT INTO `Shipments` VALUES(45,'1-60542-243-6');
INSERT INTO `Shipments` VALUES(46,'1-07-832837-4');
INSERT INTO `Shipments` VALUES(47,'0-904088-37-5');
INSERT INTO `Shipments` VALUES(48,'1-58684-234-X');
INSERT INTO `Shipments` VALUES(49,'0-87025-997-0');
INSERT INTO `Shipments` VALUES(50,'1-256-16173-X');
INSERT INTO `Shipments` VALUES(51,'0-943903-99-8');
INSERT INTO `Shipments` VALUES(52,'1-60542-243-6');
INSERT INTO `Shipments` VALUES(53,'0-9716969-1-8');
INSERT INTO `Shipments` VALUES(54,'0-8285-0828-3');
INSERT INTO `Shipments` VALUES(55,'1-896372-73-2');
INSERT INTO `Shipments` VALUES(56,'1-85778-061-2');
INSERT INTO `Shipments` VALUES(57,'0-15-547443-X');
INSERT INTO `Shipments` VALUES(58,'0-8056-9293-2');
INSERT INTO `Shipments` VALUES(59,'1-7359665-4-1');
INSERT INTO `Shipments` VALUES(60,'1-239-37953-6');
INSERT INTO `Shipments` VALUES(61,'0-7751-0432-9');
INSERT INTO `Shipments` VALUES(62,'1-199-14896-2');
INSERT INTO `Shipments` VALUES(63,'0-8058-9760-7');
INSERT INTO `Shipments` VALUES(64,'0-15-547443-X');
INSERT INTO `Shipments` VALUES(65,'1-266-77163-8');
INSERT INTO `Shipments` VALUES(66,'1-69178-547-4');
INSERT INTO `Shipments` VALUES(67,'1-108-62188-0');
INSERT INTO `Shipments` VALUES(68,'1-4256-7367-8');
INSERT INTO `Shipments` VALUES(69,'1-208-70228-9');
INSERT INTO `Shipments` VALUES(70,'0-471-18686-4');
INSERT INTO `Shipments` VALUES(71,'0-662-59685-4');
INSERT INTO `Shipments` VALUES(72,'0-645-67966-6');
INSERT INTO `Shipments` VALUES(73,'0-10-008303-X');
INSERT INTO `Shipments` VALUES(74,'1-959139-51-7');
INSERT INTO `Shipments` VALUES(75,'0-17-746855-6');
INSERT INTO `Shipments` VALUES(76,'1-210-05568-6');
INSERT INTO `Shipments` VALUES(77,'1-210-75533-5');
INSERT INTO `Shipments` VALUES(78,'1-02-236892-3');
INSERT INTO `Shipments` VALUES(79,'0-7376-3675-0');
INSERT INTO `Shipments` VALUES(80,'1-884874-19-3');
INSERT INTO `Shipments` VALUES(81,'1-76602-152-2');
INSERT INTO `Shipments` VALUES(82,'0-7879-0066-4');
INSERT INTO `Shipments` VALUES(83,'0-373-45930-0');
INSERT INTO `Shipments` VALUES(84,'1-342-85461-6');
INSERT INTO `Shipments` VALUES(85,'0-453-25435-7');
INSERT INTO `Shipments` VALUES(86,'1-07-832837-4');
INSERT INTO `Shipments` VALUES(87,'0-560-21900-8');
INSERT INTO `Shipments` VALUES(88,'0-15-595897-6');
INSERT INTO `Shipments` VALUES(89,'0-02-751488-9');
INSERT INTO `Shipments` VALUES(90,'1-899661-19-0');
INSERT INTO `Shipments` VALUES(91,'0-8173-7625-9');
INSERT INTO `Shipments` VALUES(92,'0-7156-8877-4');
INSERT INTO `Shipments` VALUES(93,'1-86610-113-7');
INSERT INTO `Shipments` VALUES(94,'0-512-04493-7');
INSERT INTO `Shipments` VALUES(95,'0-06-971587-4');
INSERT INTO `Shipments` VALUES(96,'1-210-75533-5');
INSERT INTO `Shipments` VALUES(97,'1-02-207303-6');
INSERT INTO `Shipments` VALUES(98,'0-9631006-8-8');
INSERT INTO `Shipments` VALUES(99,'1-07-832837-4');
INSERT INTO `Shipments` VALUES(100,'0-353-60185-3');
